chemical,chem_id
δ 13 carbon-8,
δ 13 carbon-2,
δ 13 carbon-4,
δ 13 carbon-5,
δ 13 carbon-14,
δ 13 carbon-12,
δ 13 carbon-10,
2?stearo?dipalmitin,
2?oleo?dipalmitin,
2-linoleo-dipalmitin,
2- palmito-distearicin,
oleo-stearo-palmitin,
2-palimto-dioleocin oop,
oleo-linoleo-palmitin,
2-palmito-dilinoleicin,
tristearicin,
2-oleo-distearicin,
2-palmito-oleicin,
trioleicin,
2-methylbutanalb,
2-methylbutanoic acidb,
δ-decenolactoneb,
δ-octenolactoneb,
δ-decalactoneb,
linaloolb,
γ-decalactoneb,
γ-nonalactoneb,
γ-octalactoneb,
gal-ec-ec,
cyclo(l-ala-l-leu),
cyclo(l-pro-l-ile),
cyclo(l-pro-l-ala),
cyclo(l-ala-l-phe),
cyclo(l-val-l-phe),
cyclo(l-pro-l-phe),
cyclo(l-phe-gly),
cyclo(l-val-l-tyr),
cyclo(l-pro-gly),
cyclo(l-leu-gly),
quercetin-3-o-β-d-glucopyranoside,
quercetin-3-o-α-l-arabinopyranoside,
luteolin-7-o-β-d-glucopyranoside,
apigenin-8-c-β-d-glucopyranoside,
apigenin-6-c-β-d-glucopyranoside,
naringenin-7-o-β-d-glucopyranoside,
"n-[3',4'-dihydroxy-(e)-cinnamoyl]-l-aspartic acid",
succinic acidg,
2- and 3-methylbutanal,
dideoxyclovamide,
monomer gallate,
monomer derivatives,
dimer derivatives,
pca type,
(+) catechin,
quercetin-3-o-?-d-glucofuranoside,
quercetin-3-o-?-d-glucopyranoside,
diglycerides,
dipalmitolein,
palmitoleostearin,
oleodistearin,
stearolinolein,
stearoleoarachidin,
2-heptanonea,
acetonea,
ethyl acetatea,
methylbutanala,
phenylacetaldehydea,
tmp,
trmpa,
oleic acid + isomers,
(iso)citric acid,
apigenin hexoside,
β-d-xylopyranosyl-î±-l-rhamnopyranosyl-d-fucose,
caffeoyl aspartate,
feruloyl aspartate,
(epi)catechin hexoside,
catechin sulphonic acid,
cis-3-hexenyl î²-primeveroside,
dimethoxygallic acid glucopyranoside,
dimethyl-o-ec-ec-ecg trimer,
dimethyl-o-ec-ecg dimer,
dimethyl-o-procyanidin b dimer,
dimethyl-o-procyanidin b tetramer,
dimethyl-o-procyanidin b trimer,
(-)-epicatechin (7.1) & (+)-catechin (5),
hydroxyjasmonic acid sulfate,
(iso)leucine hexoside (amadori),
kaempferol-3-o-hexoside,
naringenin hexoside,
octen-3-yl primeveroside,
p-coumaroyl aspartate,
p-coumaroyl glutamate,
p-coumaroyl glutamine,
phenylalanine hexoside (amadori),
procyanidin 2a-type trimer,
procyanidin a-type dimer,
procyanidin a-type dimer arabinoside,
procyanidin a-type dimer hexoside,
procyanidin a-type hexamer,
procyanidin a-type hexamer arabinoside,
procyanidin a-type hexamer hexoside,
procyanidin a-type pentamer,
procyanidin a-type pentamer arabinoside,
procyanidin a-type pentamer hexoside,
procyanidin a-type tetramer,
procyanidin a-type tetramer arabinoside,
procyanidin a-type tetramer hexoside,
procyanidin a-type trimer,
procyanidin a-type trimer arabinoside,
procyanidin a-type trimer hexoside,
procyanidin b-type decamer,
procyanidin b1 & procyanidin b2,
procyanidin b-type dimer hexoside,
procyanidin b-type heptamer,
procyanidin b-type hexamera,
procyanidin b-type nonamer,
procyanidin b-type octamer,
procyanidin b-type pentamera,
procyanidin b-type tetramera,
procyanidin b-type trimera,
procyanidin b-type undecamer,
proline diglucoside (amadori),
prolylhydroxproline/n-acetylalanylproline,
quercetin-3-o-arabinosideb,
quercetin-3-o-hexosideb,
sucrosea,
vanillic acid diglucoside,
vanillic acid glucoside,
polyphenols,
aglycone,
antioxidants,
flavan-3-ols,
mineral,
carbon 50,
carbon 52,
carbon 54,
carbon 56,
amino acids,
proteins,
fats,
"2,3 butanediol",
"2,4 dimethyl-1-heptene",
3-methylbutyl,
alkanes/alkenes,
aromatics (benzene derivatives),
carboxylic acids,
total polyphenol,
total flavonoid,
proantocyanidins,
nanomers,
